fighter_id,canonical_name,display_name,alias_name,identity_source
ufcp-bdd57eef-8ec5-50c0-8292-84ca0d8548ac,aalon cruz,Aalon Cruz,Aalon Cruz,UFC-DataLab/UFCStats-derived name
ufcp-bdd57eef-8ec5-50c0-8292-84ca0d8548ac,aalon cruz,Aalon Cruz,AALON CRUZ,UFC-DataLab/UFCStats-derived name
ufcp-29f2787e-1666-5e07-8f0c-5b7e67b05e5e,aaron brink,Aaron Brink,Aaron Brink,UFC-DataLab/UFCStats-derived name
ufcp-29f2787e-1666-5e07-8f0c-5b7e67b05e5e,aaron brink,Aaron Brink,AARON BRINK,UFC-DataLab/UFCStats-derived name
ufcp-3267776a-6fc2-5c90-a575-fd18b20eec78,aaron ely,Aaron Ely,Aaron Ely,UFC-DataLab/UFCStats-derived name
ufcp-edf37832-597e-55cb-8287-245939365c59,aaron jeffery,Aaron Jeffery,Aaron Jeffery,UFC-DataLab/UFCStats-derived name
ufcp-f4cc5dc9-b4a0-537f-bc92-9b19a791c3b2,aaron lanfranco,Aaron Lanfranco,Aaron Lanfranco,UFC-DataLab/UFCStats-derived name
ufcp-874809d2-2da7-5076-8c51-debc5ed74882,aaron miller,Aaron Miller,Aaron Miller,UFC-DataLab/UFCStats-derived name
ufcp-54772f9c-546d-5824-89dc-5d318bf5d8d8,aaron phillips,Aaron Phillips,AARON PHILLIPS,UFC-DataLab/UFCStats-derived name
ufcp-54772f9c-546d-5824-89dc-5d318bf5d8d8,aaron phillips,Aaron Phillips,Aaron Phillips,UFC-DataLab/UFCStats-derived name
ufcp-a90533ec-7400-5986-8f91-463b082e5d38,aaron pico,Aaron Pico,AARON PICO,UFC-DataLab/UFCStats-derived name
ufcp-7399ad42-0ec5-5907-aa87-63a26a47c0cc,aaron riley,Aaron Riley,AARON RILEY,UFC-DataLab/UFCStats-derived name
ufcp-7399ad42-0ec5-5907-aa87-63a26a47c0cc,aaron riley,Aaron Riley,Aaron Riley,UFC-DataLab/UFCStats-derived name
ufcp-46611013-ad7d-59be-93a7-3cc1754db178,aaron rosa,Aaron Rosa,Aaron Rosa,UFC-DataLab/UFCStats-derived name
ufcp-46611013-ad7d-59be-93a7-3cc1754db178,aaron rosa,Aaron Rosa,AARON ROSA,UFC-DataLab/UFCStats-derived name
ufcp-8a659a64-6f6e-50dd-8f3e-38021424540f,aaron simpson,Aaron Simpson,Aaron Simpson,UFC-DataLab/UFCStats-derived name
ufcp-8a659a64-6f6e-50dd-8f3e-38021424540f,aaron simpson,Aaron Simpson,AARON SIMPSON,UFC-DataLab/UFCStats-derived name
ufcp-ac194953-249f-58b7-a19b-ae82e26d5afd,aaron trujillo,Aaron Trujillo,Aaron Trujillo,UFC-DataLab/UFCStats-derived name
ufcp-9a919871-a7d5-5b9c-a000-c934a0e29220,aaron wetherspoon,Aaron Wetherspoon,Aaron Wetherspoon,UFC-DataLab/UFCStats-derived name
ufcp-59213631-e39d-569e-94b3-3470283a4c85,aaron wilkinson,Aaron Wilkinson,Aaron Wilkinson,UFC-DataLab/UFCStats-derived name
ufcp-59213631-e39d-569e-94b3-3470283a4c85,aaron wilkinson,Aaron Wilkinson,AARON WILKINSON,UFC-DataLab/UFCStats-derived name
ufcp-7417abc7-7bde-5a35-8037-1c9f362c0073,abdul rakhman yakhyaev,Abdul Rakhman Yakhyaev,ABDUL RAKHMAN YAKHYAEV,UFC-DataLab/UFCStats-derived name
ufcp-396cbadb-2c37-5217-b8a1-f64e8dd16d27,abdul razak alhassan,Abdul Razak Alhassan,Abdul Razak Alhassan,UFC-DataLab/UFCStats-derived name
ufcp-396cbadb-2c37-5217-b8a1-f64e8dd16d27,abdul razak alhassan,Abdul Razak Alhassan,ABDUL RAZAK ALHASSAN,UFC-DataLab/UFCStats-derived name
ufcp-a36430a0-9af5-5eea-9a91-ac25a195eb97,abdul kareem al selwady,Abdul-Kareem Al-Selwady,ABDUL-KAREEM AL-SELWADY,UFC-DataLab/UFCStats-derived name
ufcp-0d67acb7-9542-5175-ae48-048cfee13f4d,abdul kerim edilov,Abdul-Kerim Edilov,Abdul-Kerim Edilov,UFC-DataLab/UFCStats-derived name
ufcp-0d67acb7-9542-5175-ae48-048cfee13f4d,abdul kerim edilov,Abdul-Kerim Edilov,ABDUL-KERIM EDILOV,UFC-DataLab/UFCStats-derived name
ufcp-e37f358f-0c62-58ee-8664-8124ba977b97,abel cullum,Abel Cullum,Abel Cullum,UFC-DataLab/UFCStats-derived name
ufcp-72ac0601-ac39-5ca8-a9dd-7ecfa03d24fc,abel trujillo,Abel Trujillo,Abel Trujillo,UFC-DataLab/UFCStats-derived name
ufcp-72ac0601-ac39-5ca8-a9dd-7ecfa03d24fc,abel trujillo,Abel Trujillo,ABEL TRUJILLO,UFC-DataLab/UFCStats-derived name
ufcp-bf209f2b-a268-5970-b186-2b2754bb278f,abner lloveras,Abner Lloveras,ABNER LLOVERAS,UFC-DataLab/UFCStats-derived name
ufcp-bf209f2b-a268-5970-b186-2b2754bb278f,abner lloveras,Abner Lloveras,Abner Lloveras,UFC-DataLab/UFCStats-derived name
ufcp-612c5a64-b0e3-5e2c-96b7-4f920122b2ca,abongo humphrey,Abongo Humphrey,Abongo Humphrey,UFC-DataLab/UFCStats-derived name
ufcp-acf1c0ea-83f8-546c-8ce1-92d226b433f7,abram torres,Abram Torres,Abram Torres,UFC-DataLab/UFCStats-derived name
ufcp-84d0ba7b-1a91-5ef9-ba0c-04b4ba487d9b,abu azaitar,Abu Azaitar,ABU AZAITAR,UFC-DataLab/UFCStats-derived name
ufcp-84d0ba7b-1a91-5ef9-ba0c-04b4ba487d9b,abu azaitar,Abu Azaitar,Abu Azaitar,UFC-DataLab/UFCStats-derived name
ufcp-49799c8f-aa40-5167-8c6b-600c8d3fde0b,abubakar nurmagomedov,Abubakar Nurmagomedov,ABUBAKAR NURMAGOMEDOV,UFC-DataLab/UFCStats-derived name
ufcp-49799c8f-aa40-5167-8c6b-600c8d3fde0b,abubakar nurmagomedov,Abubakar Nurmagomedov,Abubakar Nurmagomedov,UFC-DataLab/UFCStats-derived name
ufcp-4fe635d7-9327-5bbd-8733-cbc025b17ba4,abus magomedov,Abus Magomedov,ABUS MAGOMEDOV,UFC-DataLab/UFCStats-derived name
ufcp-3d53ea0f-e4df-5752-893f-085ee5a930ce,achmed labasanov,Achmed Labasanov,Achmed Labasanov,UFC-DataLab/UFCStats-derived name
ufcp-453bf005-bf3e-5634-bb89-be0d76d733f8,adam antolin,Adam Antolin,Adam Antolin,UFC-DataLab/UFCStats-derived name
ufcp-faf5bbb3-3d8c-5846-8ca3-458138ae9b0f,adam cella,Adam Cella,Adam Cella,UFC-DataLab/UFCStats-derived name
ufcp-faf5bbb3-3d8c-5846-8ca3-458138ae9b0f,adam cella,Adam Cella,ADAM CELLA,UFC-DataLab/UFCStats-derived name
ufcp-19ef22cd-6afa-53e8-b2e5-e32006fbd7c7,adam fugitt,Adam Fugitt,ADAM FUGITT,UFC-DataLab/UFCStats-derived name
ufcp-bd2770b6-499c-503b-b9a3-95f0978eff27,adam hunter,Adam Hunter,Adam Hunter,UFC-DataLab/UFCStats-derived name
ufcp-1558f4c2-3c84-50ef-972c-cebab3177eda,adam khaliev,Adam Khaliev,Adam Khaliev,UFC-DataLab/UFCStats-derived name
ufcp-662a07c6-211e-58be-8d0c-abfec883154f,adam lynn,Adam Lynn,Adam Lynn,UFC-DataLab/UFCStats-derived name
ufcp-0476c9d1-7b93-5e59-a158-26be537427d0,adam meredith,Adam Meredith,Adam Meredith,UFC-DataLab/UFCStats-derived name
ufcp-bb29bae8-f0f0-554f-897b-0b87dc60b34a,adam milstead,Adam Milstead,ADAM MILSTEAD,UFC-DataLab/UFCStats-derived name
ufcp-bb29bae8-f0f0-554f-897b-0b87dc60b34a,adam milstead,Adam Milstead,Adam Milstead,UFC-DataLab/UFCStats-derived name
ufcp-914ad373-40d1-53aa-ab08-4f777f6fa9c5,adam piccolotti,Adam Piccolotti,Adam Piccolotti,UFC-DataLab/UFCStats-derived name
ufcp-5559755f-dccd-58f6-9007-a8987e208d60,adam schindler,Adam Schindler,Adam Schindler,UFC-DataLab/UFCStats-derived name
ufcp-134d3ed4-6a46-5e41-9f2d-2abdb86b205d,adam smith,Adam Smith,Adam Smith,UFC-DataLab/UFCStats-derived name
ufcp-17748515-11b5-521b-8ce7-facd660bfc67,adam steele,Adam Steele,Adam Steele,UFC-DataLab/UFCStats-derived name
ufcp-b7d34416-6e0a-54aa-a1dc-4143d4b5c01c,adam wieczorek,Adam Wieczorek,Adam Wieczorek,UFC-DataLab/UFCStats-derived name
ufcp-b7d34416-6e0a-54aa-a1dc-4143d4b5c01c,adam wieczorek,Adam Wieczorek,ADAM WIECZOREK,UFC-DataLab/UFCStats-derived name
ufcp-8d2225b4-78da-5369-a975-32a6a2cf646b,adam yandiev,Adam Yandiev,Adam Yandiev,UFC-DataLab/UFCStats-derived name
ufcp-8d2225b4-78da-5369-a975-32a6a2cf646b,adam yandiev,Adam Yandiev,ADAM YANDIEV,UFC-DataLab/UFCStats-derived name
ufcp-f98fa84d-3acf-5225-b965-f5e2a970abd0,adin duenas,Adin Duenas,Adin Duenas,UFC-DataLab/UFCStats-derived name
ufcp-ff3b5cdd-ddd3-59c1-a1c4-4d120fb1b530,adlan amagov,Adlan Amagov,ADLAN AMAGOV,UFC-DataLab/UFCStats-derived name
ufcp-ff3b5cdd-ddd3-59c1-a1c4-4d120fb1b530,adlan amagov,Adlan Amagov,Adlan Amagov,UFC-DataLab/UFCStats-derived name
ufcp-e3abc4be-220f-54b7-9343-60f3cbc8005b,adli edwards,Adli Edwards,Adli Edwards,UFC-DataLab/UFCStats-derived name
ufcp-04e5bba0-b1b3-5754-8d15-76d8a6f64d92,adrian diaz,Adrian Diaz,Adrian Diaz,UFC-DataLab/UFCStats-derived name
ufcp-c9e63bef-fe54-54a7-9e0f-abcc356c0c07,adrian luna martinetti,Adrian Luna Martinetti,ADRIAN LUNA MARTINETTI,UFC-DataLab/UFCStats-derived name
ufcp-d983d705-f206-52e7-94a3-8bbde497ce9e,adrian serrano,Adrian Serrano,ADRIAN SERRANO,UFC-DataLab/UFCStats-derived name
ufcp-d983d705-f206-52e7-94a3-8bbde497ce9e,adrian serrano,Adrian Serrano,Adrian Serrano,UFC-DataLab/UFCStats-derived name
ufcp-eb45fb4e-611f-5fcd-8da2-c3ace0e26fdb,adrian yanez,Adrian Yanez,Adrian Yanez,UFC-DataLab/UFCStats-derived name
ufcp-eb45fb4e-611f-5fcd-8da2-c3ace0e26fdb,adrian yanez,Adrian Yanez,ADRIAN YANEZ,UFC-DataLab/UFCStats-derived name
ufcp-2428d8ce-1ff8-5e76-8be9-f20cc92e0468,adriano martins,Adriano Martins,ADRIANO MARTINS,UFC-DataLab/UFCStats-derived name
ufcp-2428d8ce-1ff8-5e76-8be9-f20cc92e0468,adriano martins,Adriano Martins,Adriano Martins,UFC-DataLab/UFCStats-derived name
ufcp-fb1ead8a-0eaf-5354-b4a9-4e5299454e17,adriano santos,Adriano Santos,ADRIANO SANTOS,UFC-DataLab/UFCStats-derived name
ufcp-fb1ead8a-0eaf-5354-b4a9-4e5299454e17,adriano santos,Adriano Santos,Adriano Santos,UFC-DataLab/UFCStats-derived name
ufcp-ab9210dd-757c-5d89-bc4a-0ea1c25a62aa,adrienna jenkins,Adrienna Jenkins,Adrienna Jenkins,UFC-DataLab/UFCStats-derived name
ufcp-c264084a-9b35-5478-8d89-b6a805fd8ca7,aiemann zahabi,Aiemann Zahabi,AIEMANN ZAHABI,UFC-DataLab/UFCStats-derived name
ufcp-617e71ec-e002-5367-9b33-1c23d6cbd94a,ailin perez,Ailin Perez,AILIN PEREZ,UFC-DataLab/UFCStats-derived name
ufcp-1add717d-22ed-5703-8425-2d1e9eb55d71,aisling daly,Aisling Daly,Aisling Daly,UFC-DataLab/UFCStats-derived name
