red_fighter_name;blue_fighter_name;event_date;red_fighter_nickname;blue_fighter_nickname;red_fighter_result;blue_fighter_result;fight_outcome;method;round;time;time_format;referee;details;bout_type;bonus;event_name;event_location;red_fighter_KD;blue_fighter_KD;red_fighter_sig_str;blue_fighter_sig_str;red_fighter_sig_str_pct;blue_fighter_sig_str_pct;red_fighter_total_str;blue_fighter_total_str;red_fighter_TD;blue_fighter_TD;red_fighter_TD_pct;blue_fighter_TD_pct;red_fighter_sub_att;blue_fighter_sub_att;red_fighter_rev;blue_fighter_rev;red_fighter_ctrl;blue_fighter_ctrl;red_fighter_sig_str_head;blue_fighter_sig_str_head;red_fighter_sig_str_body;blue_fighter_sig_str_body;red_fighter_sig_str_leg;blue_fighter_sig_str_leg;red_fighter_sig_str_distance;blue_fighter_sig_str_distance;red_fighter_sig_str_clinch;blue_fighter_sig_str_clinch;red_fighter_sig_str_ground;blue_fighter_sig_str_ground;red_fighter_sig_str_head_pct;blue_fighter_sig_str_head_pct;red_fighter_sig_str_body_pct;blue_fighter_sig_str_body_pct;red_fighter_sig_str_leg_pct;blue_fighter_sig_str_leg_pct;red_fighter_sig_str_distance_pct;blue_fighter_sig_str_distance_pct;red_fighter_sig_str_clinch_pct;blue_fighter_sig_str_clinch_pct;red_fighter_sig_str_ground_pct;blue_fighter_sig_str_ground_pct
ABDUL RAKHMAN YAKHYAEV;JULIUS WALKER;27/06/2026;The Hunter;Juice Box;W;L;red_win;KO/TKO;1;0:08;3 Rnd (5-5-5);Jim Perdios;Punch to Head At Distance;Light Heavyweight Bout;perf;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;1;0;6 of 8;0 of 1;75;0;6 of 8;0 of 1;0 of 0;0 of 0;---;---;0;0;0;0;0:03;0:00;6 of 8;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;1 of 1;0 of 1;0 of 0;0 of 0;5 of 7;0 of 0;100.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;83.0;0.0
ABUS MAGOMEDOV;MICHAL OLEKSIEJCZUK;27/06/2026;;Hussar;W;L;red_win;Submission;1;3:25;3 Rnd (5-5-5);Jim Perdios;Guillotine Choke From Bottom Guard;Middleweight Bout;-;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;1;0;10 of 27;5 of 19;37;26;10 of 27;5 of 19;0 of 0;0 of 0;---;---;1;0;0;0;0:36;0:03;5 of 20;1 of 12;4 of 5;2 of 4;1 of 2;2 of 3;9 of 25;5 of 19;1 of 1;0 of 0;0 of 1;0 of 0;50.0;20.0;40.0;40.0;10.0;40.0;90.0;100.0;10.0;0.0;0.0;0.0
ASU ALMABAYEV;CHARLES JOHNSON;27/06/2026;Zulfikar;InnerG;W;L;red_win;Submission;3;3:33;3 Rnd (5-5-5);Herb Dean;Suloev Stretch From Back Control;Flyweight Bout;perf;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;0;0;28 of 51;21 of 45;54;46;73 of 102;32 of 57;6 of 9;0 of 0;66.0;---;1;1;0;0;8:48;0:00;15 of 34;5 of 19;7 of 10;8 of 14;6 of 7;8 of 12;18 of 37;18 of 41;1 of 1;3 of 4;9 of 13;0 of 0;53.0;23.0;25.0;38.0;21.0;38.0;64.0;85.0;3.0;14.0;32.0;0.0
BEKZAT ALMAKHAN;JEAN MATSUMOTO;27/06/2026;The Turan Warrior;;L;W;blue_win;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rich Mitchell;Ben Cartlidge 28 - 29. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.;Bantamweight Bout;-;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;1;0;69 of 159;79 of 229;43;34;70 of 160;89 of 241;0 of 0;2 of 10;---;20.0;0;0;0;0;0:02;1:38;59 of 148;44 of 176;9 of 10;11 of 21;1 of 1;24 of 32;65 of 155;70 of 211;4 of 4;6 of 14;0 of 0;3 of 4;85.0;55.0;13.0;13.0;1.0;30.0;94.0;88.0;5.0;7.0;0.0;3.0
DANIIL DONCHENKO;THEODOR BERGGREN;27/06/2026;;Simba;W;L;red_win;KO/TKO;2;1:35;3 Rnd (5-5-5);Herb Dean;Punches to Head At Distance;Welterweight Bout;perf;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;2;0;71 of 107;23 of 64;66;35;73 of 109;29 of 71;0 of 0;0 of 0;---;---;0;0;0;0;0:27;0:17;16 of 44;15 of 50;26 of 32;7 of 13;29 of 31;1 of 1;61 of 93;20 of 60;10 of 13;3 of 4;0 of 1;0 of 0;22.0;65.0;36.0;30.0;40.0;4.0;85.0;86.0;14.0;13.0;0.0;0.0
FARMAN HASANOV;ERIC NOLAN;27/06/2026;The Lion;Night Time;W;L;red_win;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rich Mitchell;David Lethaby 27 - 30. Anders Ohlsson 27 - 30. Vito Paolillo 27 - 30.;Welterweight Bout;-;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;0;0;21 of 41;15 of 51;51;29;53 of 87;29 of 67;17 of 27;0 of 0;62.0;---;0;0;0;0;11:12;0:03;20 of 39;14 of 50;1 of 2;1 of 1;0 of 0;0 of 0;19 of 37;15 of 51;0 of 0;0 of 0;2 of 4;0 of 0;95.0;93.0;4.0;6.0;0.0;0.0;90.0;100.0;0.0;0.0;9.0;0.0
IKRAM ALISKEROV;BRUNNO FERREIRA;27/06/2026;;The Hulk;W;L;red_win;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;David Lethaby 27 - 30. Vito Paolillo 27 - 30. Clemens Werner 27 - 30.;Middleweight Bout;-;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;0;0;47 of 98;19 of 55;47;34;114 of 179;23 of 61;5 of 6;0 of 1;83.0;0.0;1;0;0;0;8:53;0:07;32 of 80;13 of 48;9 of 12;3 of 4;6 of 6;3 of 3;36 of 84;19 of 55;0 of 1;0 of 0;11 of 13;0 of 0;68.0;68.0;19.0;15.0;12.0;15.0;76.0;100.0;0.0;0.0;23.0;0.0
KAAN OFLI;JAVIER REYES;27/06/2026;Genghis;Blair;W;L;red_win;Submission;1;4:16;3 Rnd (5-5-5);Rich Mitchell;Arm Triangle From Mount;Featherweight Bout;-;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;1;0;17 of 26;7 of 35;65;20;42 of 53;7 of 35;0 of 0;0 of 0;---;---;1;0;0;0;0:32;0:00;9 of 17;3 of 29;4 of 5;2 of 4;4 of 4;2 of 2;13 of 21;7 of 35;0 of 0;0 of 0;4 of 5;0 of 0;52.0;42.0;23.0;28.0;23.0;28.0;76.0;100.0;0.0;0.0;23.0;0.0
NAZIM SADYKHOV;MATHEUS CAMILO;27/06/2026;Black Wolf;Jaguar;L;W;blue_win;KO/TKO;1;1:31;3 Rnd (5-5-5);Rich Mitchell;Punch to Head At Distance;Lightweight Bout;-;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;0;1;0 of 16;4 of 10;0;40;0 of 16;4 of 10;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:03;0 of 10;3 of 8;0 of 1;0 of 0;0 of 5;1 of 2;0 of 16;2 of 6;0 of 0;0 of 0;0 of 0;2 of 4;33.0;75.0;34.0;0.0;33.0;25.0;33.0;50.0;34.0;0.0;33.0;50.0
NURSULTON RUZIBOEV;ANDREY PULYAEV;27/06/2026;Black;;W;L;red_win;Submission;1;3:58;3 Rnd (5-5-5);Marc Goddard;Rear Naked Choke;Middleweight Bout;-;UFC Fight Night: Fiziev vs. Torres;Baku, Azerbaijan;0;0;1 of 3;2 of 6;33;33;13 of 18;15 of 23;2 of 2;0 of 0;100.0;---;1;0;0;0;2:28;0:00;0 of 1;0 of 4;1 of 2;2 of 2;0 of 0;0 of 0;1 of 3;2 of 6;0 of 0;0 of 0;0 of 0;0 of 0;0.0;0.0;100.0;100.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
