model,bin,count,mean_predicted,actual_win_rate,absolute_gap
Current Logistic (reference),"[0.1, 0.2)",5,0.16369219275358726,0.2,0.03630780724641275
Current Logistic (reference),"[0.2, 0.3)",67,0.2663930390100161,0.22388059701492538,0.042512441995090716
Current Logistic (reference),"[0.3, 0.4)",288,0.35809888573209453,0.3194444444444444,0.03865444128765011
Current Logistic (reference),"[0.4, 0.5)",576,0.4540539587069055,0.4375,0.016553958706905514
Current Logistic (reference),"[0.5, 0.6)",582,0.5450082818204881,0.5532646048109966,0.008256322990508491
Current Logistic (reference),"[0.6, 0.7)",268,0.6396947890861493,0.6231343283582089,0.016560460727940374
Current Logistic (reference),"[0.7, 0.8)",70,0.7393716996705835,0.7857142857142857,0.04634258604370223
Current Logistic (reference),"[0.8, 0.9)",6,0.8187325508561355,1.0,0.1812674491438645
Current Logistic (reference),"[0.9, 1.0)",1,0.9212230586451058,1.0,0.07877694135489421
Rich Logistic,"[0.0, 0.1)",2,0.09623454785836486,0.0,0.09623454785836486
Rich Logistic,"[0.1, 0.2)",17,0.15551833248116745,0.17647058823529413,0.02095225575412668
Rich Logistic,"[0.2, 0.3)",132,0.2599908935994741,0.2727272727272727,0.012736379127798625
Rich Logistic,"[0.3, 0.4)",323,0.3522132372537028,0.35294117647058826,0.0007279392168854648
Rich Logistic,"[0.4, 0.5)",489,0.45162658311949905,0.4376278118609407,0.013998771258558362
Rich Logistic,"[0.5, 0.6)",499,0.5475703515075483,0.56312625250501,0.015555900997461736
Rich Logistic,"[0.6, 0.7)",285,0.6437794218605779,0.624561403508772,0.01921801835180592
Rich Logistic,"[0.7, 0.8)",100,0.7344907896781878,0.7,0.03449078967818786
Rich Logistic,"[0.8, 0.9)",15,0.8380416647663377,0.9333333333333333,0.09529166856699567
Rich Logistic,"[0.9, 1.0)",1,0.9353191870385091,1.0,0.06468081296149086
Rich Logistic + Interactions,"[0.0, 0.1)",10,0.0547338214132572,0.5,0.4452661785867428
Rich Logistic + Interactions,"[0.1, 0.2)",52,0.15816119918021684,0.25,0.09183880081978316
Rich Logistic + Interactions,"[0.2, 0.3)",162,0.2589588006098614,0.3148148148148148,0.05585601420495345
Rich Logistic + Interactions,"[0.3, 0.4)",287,0.35587009913790385,0.397212543554007,0.04134244441610313
Rich Logistic + Interactions,"[0.4, 0.5)",400,0.4530544481552709,0.4575,0.004445551844729112
Rich Logistic + Interactions,"[0.5, 0.6)",463,0.5437299104583379,0.5399568034557235,0.003773107002614351
Rich Logistic + Interactions,"[0.6, 0.7)",319,0.6456243795749769,0.5768025078369906,0.06882187173798626
Rich Logistic + Interactions,"[0.7, 0.8)",122,0.7396192301680745,0.639344262295082,0.1002749678729925
Rich Logistic + Interactions,"[0.8, 0.9)",46,0.8357199258705819,0.6956521739130435,0.1400677519575384
Rich Logistic + Interactions,"[0.9, 1.0)",2,0.908326559371869,0.5,0.408326559371869
Random Forest,"[0.1, 0.2)",1,0.1860755251312199,0.0,0.1860755251312199
Random Forest,"[0.2, 0.3)",40,0.27203310771916966,0.275,0.0029668922808303577
Random Forest,"[0.3, 0.4)",305,0.3603534463763017,0.30491803278688523,0.05543541358941645
Random Forest,"[0.4, 0.5)",544,0.45269404966356797,0.4375,0.015194049663567966
Random Forest,"[0.5, 0.6)",680,0.546372109634879,0.5529411764705883,0.006569066835709236
Random Forest,"[0.6, 0.7)",273,0.6349473118769966,0.6410256410256411,0.006078329148644479
Random Forest,"[0.7, 0.8)",20,0.719224412620316,0.9,0.18077558737968402
Gradient Boosting,"[0.1, 0.2)",8,0.18385817865016718,0.125,0.05885817865016718
Gradient Boosting,"[0.2, 0.3)",107,0.2625699217539512,0.2336448598130841,0.02892506194086711
Gradient Boosting,"[0.3, 0.4)",312,0.35423459076600733,0.3301282051282051,0.024106385637802208
Gradient Boosting,"[0.4, 0.5)",482,0.4525121218499445,0.45228215767634855,0.00022996417359594234
Gradient Boosting,"[0.5, 0.6)",556,0.545766494921433,0.5377697841726619,0.007996710748771174
Gradient Boosting,"[0.6, 0.7)",320,0.6402379390223627,0.6375,0.0027379390223627453
Gradient Boosting,"[0.7, 0.8)",75,0.7300386329407167,0.7733333333333333,0.043294700392616625
Gradient Boosting,"[0.8, 0.9)",3,0.8143106985093512,1.0,0.18568930149064877
XGBoost,"[0.1, 0.2)",5,0.17904193699359894,0.0,0.17904193699359894
XGBoost,"[0.2, 0.3)",111,0.26233935356140137,0.27927927927927926,0.01693992571787789
XGBoost,"[0.3, 0.4)",332,0.3543960452079773,0.3313253012048193,0.023070744003158006
XGBoost,"[0.4, 0.5)",461,0.45388227701187134,0.4490238611713666,0.004858415840504726
XGBoost,"[0.5, 0.6)",557,0.5455124974250793,0.5439856373429084,0.0015268600821709555
XGBoost,"[0.6, 0.7)",326,0.6424006223678589,0.6319018404907976,0.010498781877061325
XGBoost,"[0.7, 0.8)",71,0.7298288941383362,0.7605633802816901,0.030734486143353945
Pruned Rich Logistic,"[0.0, 0.1)",2,0.09545831972821271,0.0,0.09545831972821271
Pruned Rich Logistic,"[0.1, 0.2)",14,0.16376113118046312,0.14285714285714285,0.02090398832332027
Pruned Rich Logistic,"[0.2, 0.3)",103,0.26697844522376774,0.24271844660194175,0.024259998621825984
