date,fighter_a,fighter_b,fighter_a_won_saved,Rich Logistic,primary_category,ufc_debutant_or_very_low_experience,large_age_difference,large_reach_difference,large_size_difference,fighter_moving_weight_classes,long_layoff,short_notice,recent_decline,recent_improvement,wrestler_vs_striker,grappler_vs_weak_submission_defense,power_puncher_vs_poor_defense,low_data_fighter,close_50_50_fight,major_upset
2022-11-05,carlos candelario,jake hadley,0,0.5582236971106684,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2022-11-05,darrick minner,shayilan nuerdanbieke,0,0.6103562574594129,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2022-11-05,ramona pascual,tamires vidal,0,0.5142947418465444,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,True,False
2022-11-12,claudio puelles,dan hooker,0,0.5821774606883832,fighter_moving_weight_classes,False,False,False,False,True,False,,True,False,True,False,False,False,False,False
2022-11-12,dominick reyes,ryan spann,0,0.5588807122499752,long_layoff,False,False,False,False,False,True,,True,False,False,False,False,False,False,False
2022-11-12,israel adesanya,alex pereira,0,0.7022166861317233,major_upset,False,False,False,False,False,False,,False,False,False,False,False,False,False,True
2022-11-12,ottman azaitar,matt frevola,0,0.62062555300624,ufc_debutant_or_very_low_experience,True,False,False,False,False,True,,False,False,True,False,False,True,False,False
2022-11-12,michael trizano,seungwoo choi,1,0.4748278035690151,close_50_50_fight,False,False,False,False,False,False,,False,False,False,False,False,False,True,False
2022-11-19,jennifer maia,maryna moroz,1,0.4639029565089418,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,True,False
2022-12-03,angela hill,emily ducote,1,0.3591824748828644,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2022-12-03,scott holtzman,clay guida,0,0.530532787426523,long_layoff,False,False,False,False,False,True,,True,False,False,False,False,False,True,False
2022-12-03,kyle daukaus,eryk anders,0,0.6025609911195495,power_puncher_vs_poor_defense,False,False,False,False,False,False,,False,False,False,False,True,False,False,False
2022-12-03,roman dolidze,jack hermansson,1,0.4361570562947459,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2022-12-03,marc diakiese,michael johnson,0,0.6498137359850421,wrestler_vs_striker,False,False,False,False,False,False,,False,False,True,False,False,False,False,False
2022-12-03,phil rowe,niko price,1,0.3898513398150782,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2022-12-03,kevin holland,stephen thompson,0,0.633102412478846,large_age_difference,False,True,True,False,False,False,,True,False,False,False,False,False,False,False
2022-12-10,billy quarantillo,alexander hernandez,1,0.3235593338862985,fighter_moving_weight_classes,False,False,False,False,True,False,,True,False,False,False,True,False,False,False
2022-12-10,ilia topuria,bryce mitchell,1,0.4373472893292638,fighter_moving_weight_classes,False,False,False,False,True,False,,False,False,False,False,False,False,False,False
2022-12-10,jairzinho rozenstruik,chris daukaus,1,0.367471046762945,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2022-12-10,jared gordon,paddy pimblett,0,0.6852550602041454,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2022-12-10,raul rosas jr.,jay perrin,1,0.377839102173039,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2022-12-17,rinat fakhretdinov,bryan battle,1,0.4985179221717373,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2022-12-17,matthew semelsberger,jake matthews,1,0.3221659363111108,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2022-12-17,jared cannonier,sean strickland,1,0.3654406124668882,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2022-12-17,maheshate,rafa garcia,0,0.5150460777924799,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,True,True,False,False,True,True,False
2023-01-14,punahele soriano,roman kopylov,0,0.5253243069694945,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,True,False
2023-01-21,gabriel bonfim,mounir lazzez,1,0.4105058448710866,ufc_debutant_or_very_low_experience,True,True,False,False,False,False,,False,False,False,False,False,True,False,False
2023-01-21,gilbert burns,neil magny,1,0.4176447891787855,large_reach_difference,False,False,True,False,False,False,,True,False,False,False,False,False,False,False
2023-01-21,gregory rodrigues,brunno ferreira,0,0.7137037718841298,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,True
2023-01-21,terrance mckinney,ismael bonfim,0,0.7979197057775699,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,True
2023-01-21,ihor potieria,mauricio rua,1,0.3480941621707288,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2023-01-21,saimon oliveira,daniel marcos,0,0.5469354308773929,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2023-01-21,warlley alves,nicolas dalby,0,0.5783488857171929,long_layoff,False,False,False,False,False,True,,True,False,False,False,False,False,False,False
2023-02-04,devin clark,da woon jung,1,0.4461911082032371,power_puncher_vs_poor_defense,False,False,False,False,False,False,,False,False,False,False,True,False,False,False
2023-02-04,seungguk choi,hyunsung park,0,0.5184756038468734,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2023-02-04,toshiomi kazama,rinya nakamura,0,0.5166729123974978,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2023-02-11,josh culibao,melsik baghdasaryan,1,0.4424981649532121,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2023-02-11,shane young,blake bilder,0,0.6181310028347232,ufc_debutant_or_very_low_experience,True,False,False,False,False,True,,False,False,False,False,False,True,False,False
2023-02-11,tyson pedro,modestas bukauskas,0,0.542130823121992,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,True,False
2023-02-11,elves brener,zubaira tukhugov,1,0.2607818990228602,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,False,True
2023-02-18,themba gorimbo,aj fletcher,0,0.5477192009656241,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2023-02-18,juancamilo ronderos,clayton carpenter,0,0.5754169360541946,ufc_debutant_or_very_low_experience,True,False,False,False,False,True,,False,False,False,False,False,True,False,False
2023-02-18,jessica andrade,erin blanchfield,0,0.5678641241995871,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
2023-02-18,ovince saint preux,philipe lins,0,0.5565290479248616,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2023-02-18,marcin prachnio,william knight,1,0.4753233698389079,fighter_moving_weight_classes,False,False,False,False,True,False,,False,True,False,False,True,False,True,False
2023-02-25,andre muniz,brendan allen,0,0.5757559661869174,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
2023-02-25,erick gonzalez,trevor peek,0,0.5771602013841338,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2023-02-25,nurullo aliev,rafael alves,1,0.3265308886828635,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2023-03-04,esteban ribovics,loik radzhabov,0,0.5963817933036117,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2023-03-04,alexa grasso,valentina shevchenko,1,0.2955656934402681,recent_improvement,False,False,False,False,False,False,,False,True,True,False,False,False,False,True
2023-03-11,jj aldrich,ariane da silva,0,0.7478633220827056,fighter_moving_weight_classes,False,False,False,False,True,False,,False,False,False,False,False,False,False,True
2023-03-11,karl williams,lukasz brzeski,1,0.3687164867493283,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2023-03-11,nikita krylov,ryan spann,1,0.438394686371853,fighter_moving_weight_classes,False,False,False,False,True,False,,False,False,False,True,False,False,False,False
2023-03-11,davey grant,raphael assuncao,1,0.4199369781808982,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2023-03-11,josh fremd,sedriques dumas,1,0.4218486428744654,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
