removed_group,remaining_features,accuracy,roc_auc,log_loss,brier,ece
age,86,0.5902356902356902,0.6319975368742808,0.6653832666721795,0.2364696651136968,0.0243434781578654
physical,89,0.6057239057239058,0.6484648119711177,0.6578117323059393,0.2329005400520618,0.0130322035514946
recent_form,86,0.6037037037037037,0.6489691900545627,0.65751702247218,0.2327668975800609,0.0153133321089375
activity,89,0.6033670033670033,0.6474719381550335,0.6579861581874975,0.23300282415505,0.0083949481598054
career,84,0.6,0.6493024925307573,0.6571429940709458,0.2325977998204787,0.0145779126220278
striking,72,0.5875420875420876,0.6359706203736982,0.6629806422336,0.23533021019967,0.023457387260315
grappling,75,0.5993265993265994,0.6451197620007043,0.6590562799469799,0.2335163034563264,0.0270373984820112
opponent_quality,81,0.6033670033670033,0.6416916700246494,0.6612378343190235,0.2345111158958699,0.01124003266646
context,80,0.602020202020202,0.6475136860485801,0.6579987047810485,0.2330116106547028,0.0068507697245087
matchup_interactions,86,0.5983164983164984,0.6484089968525719,0.6575511983043603,0.23279912754399415,0.01906101055418204
time_decay,71,0.5983164983164984,0.6470385768687628,0.6586382440099515,0.23328026689820983,0.020237900873627306
