fight_id,fight_date,weight_class,method_label,p_Decision,p_KO/TKO,p_Submission
26b46336baf995109799d0e8,2019-01-19,lightweight,KO/TKO,0.47389950850165896,0.3406166237126964,0.18548386778564455
38913c7a553efd0ea27c4ce6,2019-01-19,light_heavyweight,KO/TKO,0.3017218991988313,0.4021741053350819,0.29610399546608684
8126ece57175e39d22722e5b,2019-01-19,welterweight,Decision,0.4532601087032655,0.3745774797853929,0.17216241151134187
fb232738136fb41408e97318,2019-01-19,bantamweight,Submission,0.3373482752664225,0.44743923992534773,0.21521248480822994
cbce63c7e16d47b29e74d88a,2019-01-19,lightweight,Decision,0.49833236053247576,0.3077654601957074,0.19390217927181702
9a7c75d28b2227d353ffee0b,2019-01-19,light_heavyweight,Submission,0.4186677120726103,0.38160603106728136,0.19972625686010861
5678ee79359ee825af2c6cf6,2019-01-19,lightweight,KO/TKO,0.43194304325498145,0.33987497928259325,0.22818197746242608
25a9c1526fc208e6c7fe38c0,2019-01-19,flyweight,KO/TKO,0.5118720828714695,0.36859309445446414,0.1195348226740663
7c630f0caa70766b4c9772ba,2019-01-19,womens_flyweight,Decision,0.49246479950275757,0.3265930125554725,0.18094218794176992
16e5b4cb10bf8316f059f140,2019-01-19,flyweight,Decision,0.6105274436351446,0.2848127925691057,0.10465976379574979
e290c1a53b53c40025a2f302,2019-01-19,welterweight,Submission,0.43174427676572197,0.31111935646773203,0.25713636676654605
24cb0110e15bf9500f3a20ae,2019-01-19,womens_flyweight,Submission,0.49481474823997423,0.24632271595944502,0.2588625358005811
8efd36d5f3360c4d96328383,2019-02-02,lightweight,Submission,0.448739527310905,0.3096587325558334,0.24160174013326158
414613fb990b2e1f8744a998,2019-02-02,welterweight,Submission,0.42985072086306936,0.3835444948883803,0.18660478424855034
1b0fda4335818f786b8d6f2f,2019-02-02,featherweight,Decision,0.4959524129750145,0.26189190950994107,0.2421556775150445
1953db6fe5b9744c1843dd12,2019-02-02,light_heavyweight,KO/TKO,0.42445315327875544,0.3978595834100088,0.1776872633112358
1cd6203b9577bfd25372eb22,2019-02-02,featherweight,KO/TKO,0.5878594000785741,0.2692518518181669,0.14288874810325933
22cbf1de4862c931b9f97a10,2019-02-02,heavyweight,KO/TKO,0.33625734564820364,0.5344454709894885,0.12929718336230797
7342c697833ab7bab79bea3e,2019-02-02,womens_strawweight,Decision,0.38627348235098896,0.26541916799116244,0.3483073496578484
f0a78186a92cdad28af6e943,2019-02-02,flyweight,Decision,0.4013706864725123,0.3279746964853796,0.27065461704210836
4523cf854ff48df6d66ba36f,2019-02-02,womens_flyweight,Decision,0.5543426048379594,0.2561806470873575,0.18947674807468354
34446cbf52a1732388aac036,2019-02-02,middleweight,Submission,0.519878248878652,0.243308056937956,0.2368136941833924
5467de70ec0bbfc6ea3f127e,2019-02-02,bantamweight,Submission,0.43647080119674986,0.4397971687789853,0.12373203002426512
15c9bca416c7204a3b9a9692,2019-02-02,bantamweight,KO/TKO,0.5256535143444304,0.3261383713128348,0.14820811434273476
f50a16321d311cfb1f168e8c,2019-02-02,welterweight,Decision,0.5544661894450446,0.3551634347884683,0.0903703757664868
1d74549a59fbd93e268d0046,2019-02-09,lightweight,KO/TKO,0.3884238369191408,0.421277401181196,0.19029876189966358
e4525ba53a52b5b0857e967c,2019-02-09,lightweight,KO/TKO,0.45439793173074877,0.365142382324272,0.18045968594497944
896c12a96bf1da79303bc533,2019-02-09,middleweight,Decision,0.422506429053554,0.44808641385804915,0.12940715708839745
fcaa078b4857c278dceb747d,2019-02-09,light_heavyweight,KO/TKO,0.3966576695735667,0.38941708276186976,0.21392524766456356
b253a6a048ba0dd83a41d3a3,2019-02-09,flyweight,Decision,0.3967404044357398,0.2960546131859397,0.3072049823783208
4c10bda573f8c01d3c440405,2019-02-09,lightweight,Submission,0.4571581159888791,0.38868049702360424,0.15416138698751702
5fe9e229550df4983795b5be,2019-02-09,womens_flyweight,Submission,0.559038032544978,0.2344692499424478,0.20649271751257492
5ad3dfcbceb50baabf4a06f1,2019-02-09,bantamweight,Decision,0.5533209071695118,0.22359494711528136,0.2230841457152071
19c65e9f1f86ac03182841f4,2019-02-09,featherweight,Decision,0.6207321558012125,0.25438998965460213,0.12487785454418547
b320535a9010e893cc6fe892,2019-02-09,bantamweight,Submission,0.4835887180508159,0.2878095314045206,0.2286017505446633
ca6f6af371cc512b6d1734d5,2019-02-09,bantamweight,Decision,0.5729632958959657,0.23998768793345143,0.18704901617058323
fb545f795d0e191fdab5bb79,2019-02-17,womens_strawweight,Submission,0.6020892540286549,0.21121658854451408,0.18669415742683124
3a7293241a2a807fa182f6f5,2019-02-17,featherweight,Submission,0.5226063014062438,0.3398301674608644,0.13756353113289196
90e1f32d8c4d591b474fd0de,2019-02-17,featherweight,Decision,0.5353067763163415,0.30306198701110554,0.1616312366725535
3038757c3f23bac29c322002,2019-02-17,womens_flyweight,Decision,0.5286403859359284,0.2836048146823132,0.18775479938175832
c015f09a4e1bf33ced9384e3,2019-02-17,bantamweight,Submission,0.4482669323209821,0.2882425714206225,0.2634904962583958
5891d36900849c98a50352f1,2019-02-17,womens_strawweight,Decision,0.5549458076033241,0.24716850261837311,0.19788568977830312
6959921b10f78a71e64300e8,2019-02-17,heavyweight,KO/TKO,0.2959614254850274,0.5708789986197588,0.133159575895214
657a85fc997ba3106e9c502b,2019-02-17,lightweight,Decision,0.5465145785186183,0.30420859430147673,0.14927682717990493
ca78a58998323e4f9fdbc72f,2019-02-17,bantamweight,Decision,0.5569966094883084,0.3086661191884941,0.1343372713231975
