experiment,year,train_fights,test_fights,accuracy,multiclass_log_loss,multiclass_brier,ece
method_logistic_c0.1,2019,4825,505,0.5564356435643565,0.9500468306318441,0.5656306955753476,0.014041907912439113
method_logistic_c0.1,2020,5330,442,0.5113122171945701,0.996743458249785,0.5998070050166407,0.042088081808307115
method_logistic_c0.1,2021,5772,495,0.49292929292929294,1.0011440257395694,0.608905007934597,0.07569855723685696
method_logistic_c0.1,2022,6267,505,0.49504950495049505,1.0027723721688693,0.6020208491398953,0.04131602805011598
method_logistic_c0.1,2023,6772,503,0.4671968190854871,1.0287921705641976,0.6200570257370974,0.0535671893510165
method_logistic_c0.1,2024,7275,511,0.5538160469667319,0.9416069426100864,0.5609664637505317,0.03568984858152334
method_logistic_c1,2019,4825,505,0.5584158415841585,0.9507718432652696,0.5661678056142699,0.014286663515191875
method_logistic_c1,2020,5330,442,0.5090497737556561,0.9959777265055487,0.5993486192931536,0.043878718969471986
method_logistic_c1,2021,5772,495,0.4909090909090909,1.0023605266418918,0.6096069329152187,0.07953583682138236
method_logistic_c1,2022,6267,505,0.49306930693069306,1.0028575667744992,0.6020878282940166,0.039803233772392435
method_logistic_c1,2023,6772,503,0.4691848906560636,1.0289608657051643,0.6200524450507546,0.05294115849486287
method_logistic_c1,2024,7275,511,0.5518590998043053,0.9413258477467882,0.5607173282129323,0.04139110770599293
method_random_forest,2019,4825,505,0.5643564356435643,0.9427191413939047,0.5628683582357223,0.05943877696730532
method_random_forest,2020,5330,442,0.5271493212669683,0.9851319504927296,0.5910579274589818,0.014178433467771345
method_random_forest,2021,5772,495,0.5070707070707071,0.9822375586962807,0.5957373681438665,0.014784482715101624
method_random_forest,2022,6267,505,0.4891089108910891,1.0063339691205961,0.6053838215173375,0.03543946561071389
method_random_forest,2023,6772,503,0.4870775347912525,1.0249805256424385,0.6158131632566639,0.03815778989842593
method_random_forest,2024,7275,511,0.5655577299412916,0.9336643579114466,0.5552102638098888,0.0612687180238764
method_extra_trees,2019,4825,505,0.5564356435643565,0.9478265278208146,0.5653787148603822,0.04001568470092902
method_extra_trees,2020,5330,442,0.49321266968325794,0.9934236794773753,0.601261377214087,0.07246856254993822
method_extra_trees,2021,5772,495,0.4909090909090909,0.9986906268757388,0.6061402995053873,0.05602644979175233
method_extra_trees,2022,6267,505,0.4871287128712871,1.0057191430299983,0.6051615982134878,0.05556179313677527
method_extra_trees,2023,6772,503,0.47713717693836977,1.026362549017332,0.6173214714926375,0.054774502797377764
method_extra_trees,2024,7275,511,0.5440313111545988,0.9426104168632213,0.5634458311911553,0.05845330969296503
method_gradient_boosting,2019,4825,505,0.5762376237623762,0.9462558765911723,0.5655424974016923,0.07004146494054836
method_gradient_boosting,2020,5330,442,0.5113122171945701,0.9850296776444539,0.5911739874875301,0.03459125145215348
method_gradient_boosting,2021,5772,495,0.5151515151515151,0.9776653326274641,0.5913322828611438,0.01466932484801867
method_gradient_boosting,2022,6267,505,0.49306930693069306,1.006561218224543,0.605527138796004,0.04958528186782196
method_gradient_boosting,2023,6772,503,0.48111332007952284,1.018218502359606,0.6114695449968629,0.03812305989799647
method_gradient_boosting,2024,7275,511,0.5596868884540117,0.9393425867480426,0.5579929380385041,0.06880917719096244
method_hist_gradient,2019,4825,505,0.5346534653465347,0.9751182515966546,0.5827482558346424,0.023448541845715765
method_hist_gradient,2020,5330,442,0.4819004524886878,1.0323322416448895,0.6258703212898217,0.08508354593960041
method_hist_gradient,2021,5772,495,0.501010101010101,1.003799040190606,0.6087961411491193,0.07540772178899284
method_hist_gradient,2022,6267,505,0.4871287128712871,1.028420825742185,0.6189287335912923,0.07012569287136504
method_hist_gradient,2023,6772,503,0.48111332007952284,1.0377631990553617,0.6234005340807531,0.060841269412551816
method_hist_gradient,2024,7275,511,0.5518590998043053,0.9415132444403648,0.5617569121777461,0.030827612411126824
method_xgboost,2019,4825,505,0.5841584158415841,0.9422525916067974,0.5626920564157746,0.060717162519398314
method_xgboost,2020,5330,442,0.5158371040723982,0.9889008021537314,0.5951885105156905,0.025666896911228393
method_xgboost,2021,5772,495,0.5232323232323233,0.9795207625783862,0.5937932138557701,0.03328281075063379
method_xgboost,2022,6267,505,0.499009900990099,1.0059739085754278,0.6050177380153621,0.07369522269409483
method_xgboost,2023,6772,503,0.48111332007952284,1.019818875419372,0.6125887616933878,0.03709672388452185
method_xgboost,2024,7275,511,0.5694716242661448,0.9322191431762494,0.5534846330565347,0.057874444587823225
