experiment,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
logistic_core_c0.1,2019,4839,506,0.5711462450592886,0.5999795059353964,0.6790839439947465,0.24286327645109845,0.04163303797914349
logistic_core_c0.1,2020,5345,444,0.6283783783783784,0.6679209974981186,0.657165125800308,0.23177121198214518,0.05266894285240319
logistic_core_c0.1,2021,5789,497,0.6217303822937625,0.6583805668016194,0.6571582183952098,0.2317655912165161,0.02667903874246949
logistic_core_c0.1,2022,6286,506,0.6067193675889329,0.6571763602251406,0.651860542617779,0.23036028225240854,0.023724102326058674
logistic_core_c0.1,2023,6792,504,0.5912698412698413,0.6397935056746531,0.660744978271641,0.23441416518005154,0.020997781837394567
logistic_core_c0.1,2024,7296,513,0.6159844054580896,0.6554482296300811,0.6526937297560927,0.23079088061674857,0.03276237238063141
logistic_core_c1,2019,4839,506,0.567193675889328,0.59928586067189,0.6793856041301222,0.24300232757582974,0.0382103608900368
logistic_core_c1,2020,5345,444,0.6261261261261262,0.6678803164981796,0.6572762568779191,0.231800708681892,0.05342936816489126
logistic_core_c1,2021,5789,497,0.6217303822937625,0.6583967611336032,0.6571992608247584,0.231743142148702,0.02356225678778198
logistic_core_c1,2022,6286,506,0.6086956521739131,0.6565196998123828,0.6518093701536471,0.23034934175537888,0.01699153902240328
logistic_core_c1,2023,6792,504,0.5932539682539683,0.6396674022698612,0.6609207315913925,0.23449999669129384,0.018111397547016284
logistic_core_c1,2024,7296,513,0.6159844054580896,0.6545798037662258,0.6528452176346524,0.23087491366076618,0.03389439347424931
logistic_rich_180_c0.1,2019,4839,506,0.5652173913043478,0.6043542004950105,0.6836973048400126,0.2440577984596693,0.05896799791966063
logistic_rich_180_c0.1,2020,5345,444,0.6509009009009009,0.6813864084779204,0.6484956482321106,0.22756706812150063,0.05518379335903283
logistic_rich_180_c0.1,2021,5789,497,0.6016096579476862,0.6366072874493928,0.6745450569820636,0.23857841867404025,0.045699622445487774
logistic_rich_180_c0.1,2022,6286,506,0.5869565217391305,0.6412288930581613,0.6570179058796259,0.23323550504213075,0.04563018003682311
logistic_rich_180_c0.1,2023,6792,504,0.5972222222222222,0.6296737074401009,0.6676372737078312,0.23748811426804972,0.039796285966314564
