removed_group,remaining_features,accuracy,roc_auc,log_loss,brier,ece
age,101,0.5959595959595959,0.6361094774978854,0.6668807284368502,0.2364640699712215,0.0227789363522916
physical,104,0.6053872053872054,0.6427210732475868,0.6658558826363623,0.2358034399677537,0.0280676202967872
recent_form,101,0.6104377104377104,0.6451043334313502,0.6642429806688832,0.2350715534462035,0.0281879641141878
activity,104,0.6063973063973064,0.6461158122869496,0.6637623405219074,0.2348784597836718,0.0266510785620278
career,98,0.6107744107744107,0.64573690477487,0.6642094692771698,0.2350274137528547,0.0263609020444829
striking,83,0.5993265993265994,0.6321139318166142,0.6683926801601588,0.2374383354352372,0.0313086287730945
grappling,84,0.6111111111111112,0.6461698122796891,0.6627539320777455,0.2346908449091501,0.0234405785187589
opponent_quality,81,0.6016835016835017,0.6365700656712516,0.6661133951954734,0.2364851016240796,0.0221952736386057
elo_rating,95,0.6016835016835017,0.6410271070887923,0.6645457263091098,0.2356024122085062,0.0253325786301321
matchup_interactions,101,0.6101010101010101,0.6469162827675586,0.6631248856130929,0.2345954012508014,0.0216237816294083
context,95,0.6077441077441077,0.6465264845006407,0.6631062230265006,0.234628249687934,0.0218833887744073
time_decay,80,0.6077441077441077,0.6471862827312561,0.6621486298874174,0.2342447791983663,0.0164238499636023
opponent_adjusted_performance,95,0.6097643097643097,0.6454723501885916,0.664130035902784,0.2350871809430821,0.036958284328215074
