experiment,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
logistic_core_c0.1,2019,4839,506,0.5711462450592886,0.5999795059353964,0.6790839439947465,0.24286327645109845,0.04163303797914349
logistic_core_c0.1,2020,5345,444,0.6283783783783784,0.6679209974981186,0.657165125800308,0.23177121198214518,0.05266894285240319
logistic_core_c0.1,2021,5789,497,0.6217303822937625,0.6583805668016194,0.6571582183952098,0.2317655912165161,0.02667903874246949
logistic_core_c0.1,2022,6286,506,0.6067193675889329,0.6571763602251406,0.651860542617779,0.23036028225240854,0.023724102326058674
logistic_core_c0.1,2023,6792,504,0.5912698412698413,0.6397935056746531,0.660744978271641,0.23441416518005154,0.020997781837394567
logistic_core_c0.1,2024,7296,513,0.6159844054580896,0.6554482296300811,0.6526937297560927,0.23079088061674857,0.03276237238063141
logistic_rich_180_c0.1,2019,4839,506,0.575098814229249,0.6150111140888812,0.6807393812644909,0.2424548696971303,0.05375446038229093
logistic_rich_180_c0.1,2020,5345,444,0.6463963963963963,0.6889123934666315,0.6454407879822937,0.2257262268345533,0.0386856302221866
logistic_rich_180_c0.1,2021,5789,497,0.6156941649899397,0.6384372469635627,0.6752185984535739,0.23848887134782212,0.0401790085957986
logistic_rich_180_c0.1,2022,6286,506,0.5869565217391305,0.6406816760475297,0.655959203325309,0.23304365690781653,0.047538556295218436
logistic_rich_180_c0.1,2023,6792,504,0.6111111111111112,0.6326056116015133,0.6656557188981426,0.23671576411473463,0.06130654571772095
logistic_rich_180_c0.1,2024,7296,513,0.6276803118908382,0.6591961728319824,0.6547022817838893,0.23087708596701487,0.06334559136784983
logistic_rich_365_c0.1,2019,4839,506,0.5790513833992095,0.6171551085397191,0.6794597413117958,0.24180515324561505,0.06492508043891479
logistic_rich_365_c0.1,2020,5345,444,0.6396396396396397,0.6818135589772797,0.6473955196505007,0.22673767453264726,0.03718835861136426
logistic_rich_365_c0.1,2021,5789,497,0.6056338028169014,0.6420971659919029,0.673034973126952,0.23761855420351052,0.048590706983515086
logistic_rich_365_c0.1,2022,6286,506,0.5968379446640316,0.6451375859912445,0.6533180023255313,0.23174748219319113,0.04312909486490614
logistic_rich_365_c0.1,2023,6792,504,0.6190476190476191,0.6376497477931904,0.6635444926731183,0.2356930621240121,0.05450347961928221
