candidate,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
v2_logistic_reference,2019,4839,506,0.5711462450592886,0.6149322907634828,0.68267630999286,0.24307663637300722,0.07016641077370626
v2_logistic_reference,2020,5345,444,0.6418918918918919,0.6774200109838701,0.6509728384343051,0.22819705552302036,0.03653630629572297
v2_logistic_reference,2021,5789,497,0.6096579476861167,0.6415627530364372,0.6750479239953011,0.23832266284179313,0.04817669766649362
v2_logistic_reference,2022,6286,506,0.6027667984189723,0.6438242651657285,0.6551678594207072,0.23258823165107942,0.058587882875192426
v2_logistic_reference,2023,6792,504,0.625,0.6404397856242119,0.6631014450666308,0.23542497278049349,0.06750418746354321
v2_logistic_reference,2024,7296,513,0.6257309941520468,0.6578706807239929,0.6560925415718839,0.23136479070142718,0.04650547938673807
v2_logistic_reference,2025,7809,515,0.6310679611650486,0.6640901260313719,0.6520973379294133,0.2304441809541909,0.039579512201009255
v2_logistic_reference,2026,8324,257,0.6186770428015564,0.6683331301060846,0.6490628537661614,0.2282548086985921,0.03141515245479606
v3_logistic_c0.03,2019,4839,506,0.575098814229249,0.6118266517427837,0.6847716113098504,0.2439496748286606,0.06631974459542896
v3_logistic_c0.03,2020,5345,444,0.6576576576576577,0.6883021784675468,0.6470700724724137,0.22613679446453652,0.048132851122539316
v3_logistic_c0.03,2021,5789,497,0.5734406438631791,0.619085020242915,0.6896149353741029,0.24513388400899122,0.08540565190306439
v3_logistic_c0.03,2022,6286,506,0.5928853754940712,0.6426047529706067,0.6543563645107993,0.23235325699963605,0.05463103563641788
v3_logistic_c0.03,2023,6792,504,0.623015873015873,0.6461774905422446,0.6604515554217409,0.23414715620411256,0.04981399267154433
v3_logistic_c0.03,2024,7296,513,0.621832358674464,0.6550521055518314,0.6569053823687799,0.23202923186703253,0.032975741990246756
v3_logistic_c0.03,2025,7809,515,0.6174757281553398,0.6616571463112401,0.6520981828891178,0.23049540237956562,0.03415152830907026
v3_logistic_c0.03,2026,8324,257,0.6147859922178989,0.6653456895500548,0.650314583764773,0.2291612849264627,0.05944542617187981
v3_logistic_c0.1,2019,4839,506,0.5849802371541502,0.6095407753062286,0.6895532088970365,0.24572403970826825,0.07639210564049011
v3_logistic_c0.1,2020,5345,444,0.6531531531531531,0.6822000284767,0.65160958090344,0.22769756523139925,0.05852607501506715
v3_logistic_c0.1,2021,5789,497,0.5895372233400402,0.6172712550607288,0.6941028454006521,0.2467711921391434,0.08189330293516754
v3_logistic_c0.1,2022,6286,506,0.5909090909090909,0.6394152595372108,0.6573009060791287,0.23366418135240857,0.051134354006184095
